,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
125,23,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1696.0,1466.0,1519.0,1198.0,1194.0,1170.0,1121.0,1128.0,1169.0,928.0,893.0,837.0,754.0,675.0,725.0,840.0
126,24,FELONY POSSESSION STOLEN PROPERTY            ,10.0,15.0,17.0,9.0,12.0,15.0,14.0,34.0,20.0,14.0,4.0,9.0,8.0,8.0,8.0,4.0
127,24,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,46.0,31.0,37.0,68.0,134.0,193.0,217.0,160.0,167.0,101.0,89.0,157.0,156.0,151.0,162.0,139.0
128,24,ARSON                                 ,18.0,30.0,6.0,15.0,18.0,14.0,10.0,7.0,13.0,11.0,6.0,16.0,5.0,10.0,13.0,6.0
129,24,FELONY SEX CRIMES (3),13.0,21.0,8.0,8.0,20.0,10.0,13.0,10.0,7.0,12.0,9.0,4.0,11.0,5.0,10.0,20.0
130,24,FELONY DANGEROUS DRUGS  (1),363.0,248.0,326.0,346.0,295.0,348.0,300.0,316.0,205.0,179.0,129.0,116.0,147.0,145.0,99.0,77.0
131,24,FELONY DANGEROUS WEAPONS (2)        ,7.0,7.0,11.0,9.0,15.0,11.0,27.0,21.0,19.0,29.0,10.0,15.0,25.0,14.0,12.0,22.0
132,24,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,72.0,167.0,194.0,59.0,59.0,47.0,44.0,32.0,49.0,35.0,29.0,32.0,26.0,62.0,35.0,54.0
133,24,OTHER FELONIES (4),90.0,91.0,73.0,94.0,108.0,83.0,97.0,87.0,96.0,112.0,101.0,91.0,82.0,90.0,84.0,73.0
134,24,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,619.0,610.0,672.0,608.0,661.0,721.0,722.0,667.0,576.0,493.0,377.0,440.0,460.0,485.0,423.0,395.0
135,25,FELONY POSSESSION STOLEN PROPERTY            ,45.0,52.0,52.0,32.0,25.0,18.0,22.0,24.0,26.0,25.0,23.0,12.0,7.0,4.0,21.0,30.0
136,25,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,134.0,114.0,105.0,93.0,242.0,247.0,215.0,251.0,206.0,137.0,153.0,100.0,94.0,124.0,121.0,156.0
